0800038;Công Ty TNHH Toàn Khang;0303214586;Số 1, Hồ Bác Kiện, P15, Quận 10 TP - HCM;;
0800039;Công Ty TNHH XS TM Tân Quốc Hưng;0304239713;428 QL 1A, P, Hưng Hòa B, Quận Bình Tân TP - HCM;;
0800040;Cty TNHH SX Lê Phan Phan Gia;0303958828;490 QL1A, P. Tam Bình Q, Thủ đức TP- HCM;;
0800041;Công Ty Cp Kim Khí Tp.HCM;0300399360;193 đinh Tiên Hoàng, Q1, TPHCM;;
0800042;CTy CP Nhà Rồng;0302548681;42 Hoang Dieu ,Quan 4 , TP HCM;31010.000275348;NH DT & PT Viet nam CN TP HCM
0800043;Công Ty TNHH MTV Trí Liên;0305617534;270/26/12 Phan Đình Phùng, P1, Q. Phú Nhuận, TP.HCM;;
0800044;Cty TNHH Nhật Trường Vinh;0303469400;958 Hương lộ 2, KP6, Bình Tri Đong A, Q. Bình Tân, TP.HCM;;
0800045;CTy Cung ứng Nhân Lực QT &TM(SONA);0100110415001;138 Hoa Lan, P.2, Q. PN, TPHCM;;
0800046;CTy CP Đầu Tư Xây Dựng Sài Gòn Sơn;0309143116;A4 Lầu 5, Tòa nhà Bigemco, 2/2 Lý Thường Kiệt, P.15, Q.11, Tp. HCM;;
0800047;CTY TNHH SX và TM Đại Phúc;0302482409;Lô 08 Đường Song Hành, KCN Tân Tạo, Q Bình Tân, TP HCM;;
0800048;Cty TNHH TM Hoàn Phúc;0302241467;14 Vũ Tùng, P2, Quận Bình Thạnh, TPHCM;;
0800049;Công Ty Cổ Phần VLXD & TTNT TP - HCM;0302495140;215-217 Trần Hưng đạo , Quận 1 TP - HCM;;
0800050;CTy TNHH MTV Thảo Quyên Phát;3602215417;K5/19G/Tổ 67, KP3, P. Bửu Hòa, Biên Hòa, đồng Nai;;
0800051;Bánh Mì Như Lan;0304166977;367 Hai Bà Trưng, P8, Q.3, TPHCM;;
0800052;Cty TNHH Thương Mại Thép Trường Huy;0308538496;36 Ngô Bệ, P.13, Q. Tân Bình;;
0800053;Công Ty TNHH TM Thép POMINA;0310206787;Số 289 Lý Thường Kiệt, Quận 11, TPHCM;007.100.5739946;Tại NH Ngoại Thương VN-CN TP.HCM
0800054;CN CTy CP Đầu Tư XD & Du Lịch ( TP Hà Nội);0100107074-006;Số 48(lầu2), Đường 28, KDC Bình Phú, P10, Q.6, TPHCM;;
0800055;Nguyễn Trọng Trung;;;;
0800056; Cty CP Phát Hành Sách TPHCM Nhà Sách FAHASA Hoà Bình;0304132047;Số 01 Hoà Bình;;
0800057;Công Ty TNHH Hạ Châu;0310362440;Số 9 đường số60,ấp xóm đồng xã Tân PhúTrung,H.Cù Chi, TP HCM;;
0800058;Công Ty TNHH Thép Việt Nga;1100728443;Lô B081-082 Đường Số 1, KCN Đức Hòa 1, Long An;;
0800059;Công Ty TNHH Quý Thành;0304513518;923 ấp 3, Bình Hưng, Bình Chánh;;
0800060;Công Ty TNHH MTV Thương Mại và Gia Công Dũng Xíu;0306119475;366 Thoại Ngọc Hầu, Phường Phú Thạnh, Q Tân Phú, TPHCM;;
0800061;Cty HHCN Kao Minh;3600713985;KCN Hố Nai, H. Trảng Bom, đồng Nai;;
0800062;DNTN SXuất Gia Công TM Hoàng Thắng;0305570420;17 đô đốc Long, P Tân Quý, Q Tân Phú;;
0800063;Phạm Văn Bàn (Hiệp);;Số nhà 21, đường 21, TPhcm;;
0800064;DNTN Lê Hoàng Dũng;0303142155;36 Bùi Tư toàn, AN Lạc, Bình Tân;;
0800065;DN Tư Nhân Thương Mại DV Trí Tài;0301429956;D5/41, Quốc Lộ 1A, TT Tân Túc, H. Bình Chánh, TPHCM;;
0800066;CH Kinh Doanh ắc Quy Hưng Lập;0305730931;29 Tạ uyên, P15, Q5;;
0800067;Hùng Hải Kinh Doanh Dây Cáp Tơ xích;0301959840;KA 27, Trần Xuân Soạn, Q 7;;
0800068;CTy TNHH Sản Xuất TM Hào Ký;0307297431;A2/9 Quy Đức, ấp 1, Xã Hưng Long, Huyện Bình Chánh, TPHCm;;
0800069;Lê Văn Hùng;0302482166;S.32 Chợ Vật Tư, P10, Q5 TPHCM;;
0800070;DNTN DV VT Đường Sông Thuận Thiên;0302326174;287 Trần Xuân Soạn, P. Tân Kiểng, Q7 TPHCM;;
0800071;Công Ty  CP Thương Mại Hoa Lư;0303974682;22/9 nguyễn văn săng, P. Tân Sơn Nhì, Q. Tân Phú, TPHCM;;
0800072;Cty Cổ Phần Xây Dựng SX Và TM Lộc Thiên Dương;0303558280;98 Nguyễn Thanh Tuyền, Phường2, Q. Tân Bình, TPHCM;;
0800073;Công Ty CP ĐT XD & KD Nhà Thái Sơn;0306985812;Số 3, Đường 3/2, Phường 11, Quận 10, TPHCM;;
0800074;CTy Cổ Phần Đầu Tư & Thương Mại Phú Minh Nguyên;0304166670;17/07 Đinh Tiên Hoàng, Phường Đa Kao, Q1, TPHCM;;
0800075;CTy TNHH Đầu Tư Xây Dựng TM Hà Tiến;0303330409;120 Phạm Văn Bạch, P15, Q. Tân Bình, TPHCM;;
0800076;DNTN Vận Tải Hải An;0305477319;Số 2, Cầu Bá Thước, P7, Q Phú Nhuận, TPHCM;;
0800077;CTy TNHH MTV Máy- Thiết Bị Dầu Khí Sài Gòn;0309969953;351/31 Nơ Trang Long, P13, Q. Bình Thạnh, TPHCM;;
0800078;Công Ty Cổ Phần Nam Thái Sơn;0310031671;Số 3 Đường 3/2, Phường 11, Quận 10, TP - HCM;;
0800079;Cty CP Quảng Cáo Xây Dựng Sông Lam;0310438040;21/1 Nguyễn Thượng Hiền, P5, Q. Bình Thạnh, TP HCM;;
0800080;Công Ty TNHH Sáu Lu;0303621567;C3/58, ấp 3, Xã Bình Chánh, Huyện Bình Chánh, TPHCM;;
0800081;Công Ty TNHH MTV Tổng Công Ty Thái Sơn;0300533471;Số 3, đường 3/2, Phường 11, Q10, TPHCM;;
0800082;Công Ty Cổ Phần Xây Dựng Việt Thành Nam;0309863890;Số 76 Chu Văn An, Phường 26, Q Bình Tân, TPHCM;;
0800083;Công Ty TNHH SX TM Bắc Việt;0302413860;Số 23 Nguyễn Bá Tòng, P Tân Thành, Q. Tân Phú, TPHCM;;
0800084;Công Ty TNHH Hưng đại Lộc;0305754682;755 C Quốc Lộ 13, KP 3, P Hiệp Bình Phứơc, Q Thủ đức, TPHCM;;
0800085;CN Phía Nam Cty TNHH MTV Tổng CTy XD Trường Sơn;0100512273003;30D Phạm Văn Trị, Quận Gò Vấp, TPHCM;;
0800086;Ngô Văn Hoàn;;;;
0800087;Công ty TNHH  Thương Mại Vân Tú;0301714142;843 Lạc Long Quân, Phường 10, Q. Tân Bình, TP- HCM;;
0800088;Công ty CP ĐT và XD Công Trình Giao Thông Sài Gòn;0311485075;Số 62A Đường số 30, Phường 6, Q. Gò Vấp, TP- HCM;;
0800089;Cty TNHH MTV ống Thép Hòa Phát Bình Dương;3700906187;đường 26, KCN Sóng Thần2, Huyện Dĩ An, Tỉnh Bình Dương;;
0800090;Bùi Thị Hoa;;32/8/9  Khu phố 8, P. Ttường Thọ, Thủ đức, TPHCM;;
0800091;Công Ty TNHH Xây Dựng Thương Mại Quốc Tế Liên Việt;0311818528;143 Tô Hiến Thành, Phường 13, Quận 10, TPHCM;138061369;NHTMCP á Châu CN Tùng Thiện Vương
0800092;Công ty TNHH TM DV Mai Lan Anh;0303940362;20 Điện Biên Phủ, P25, Q. Bình Thạnh TP- HCM;;
0800093;Cty Cổ Phần Xây Dựng Và Kinh Doanh Địa Ôc Hòa Bình;0302158498;235 Võ Thị Sáu, Phường 7, Quận 3, TPHCM;;
0800094;Công ty TNHH TM & DV Quang Mười;0302176553;C9/36 Khu Phố 3, QL 1A, TTrấn Tân Túc, H Bình Chánh, TPHCM;;
0800095;Công Ty TNHH Trần Huỳnh Quang;0304609668;15/16 TL 50 KP 02, P Thạnh Lộc, Q 12, TPHCM;;
0800096;Công Ty TNHH Thép Long Hiệp;0311683937;Số 3/21A - Âp 3 - Xã Tân Quý Tây, H. Bình Chánh- TPHCM;;
0800097;Công TY TNHH MTV ống Thép Hòa Phát Bình Dương;3700906187;Lô M đường 26, KCN Sóng Thần2, P Tân đông Hiệp, Thị Xã Dĩ An, Tỉnh BD;;
0800098;Công Ty CP Đầu Tư & Phát Triển Xây Dựng (INVESTCO);0301442227;201 Võ Thị Sáu, Quận 3, TP. Hồ Chí Minh;;
0800099;Công Ty Cổ Phần Tập Đoàn Thép Nguyễn Minh;1101359647;Lô D1-9 đến D1-22, KCN Vĩnh Lộc2, Đường VL2, Âp Voi Lá, Xã Long Hiệp, H Bến Lức, T Long An;;
0800100;Công Ty TNHH Thương Mại Thép Mười đây;0302158402;23 đường Số 2, Cư Xá Lữ Gia, Phường An Bình, Q Ninh Kiều, TP Cần Thơ;;
0800101;Cty CPVLXD&TTNT TPHCM- Trung Tâm KD VLXD& TTNT Số 6;0302495140;Lầu2, 215- 217 Trần Hưng Đạo, Quận1, TPHCM;;
